Category,Message
not phishing,Yes..gauti and sehwag out of odi series.
not phishing,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
not phishing,Ha ha ha good joke. Girls are situation seekers.
not phishing,Its a part of checking IQ
not phishing,"Sorry my roommates took forever, it ok if I come by now?"
not phishing,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
phishing,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
not phishing,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
phishing,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
phishing,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
not phishing,I plane to give on this month end.
not phishing,Wah lucky man... Then can save money... Hee...
not phishing,Finished class where are you.
not phishing,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
not phishing,K..k:)where are you?how did you performed?
not phishing,U can call me now...
not phishing,I am waiting machan. Call me once you free.
not phishing,Thats cool. i am a gentleman and will treat you with dignity and respect.
not phishing,I like you peoples very much:) but am very shy pa.
not phishing,Does not operate after  &lt;#&gt;  or what
not phishing,Its not the same here. Still looking for a job. How much do Ta's earn there.
not phishing,"Sorry, I'll call later"
not phishing,K. Did you call me just now ah?
not phishing,Ok i am on the way to home hi hi
not phishing,You will be in the place of that man
not phishing,Yup next stop.
not phishing,"I call you later, don't have network. If urgnt, sms me."
not phishing,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
not phishing,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
not phishing,I'm really not up to it still tonight babe
not phishing,"Ela kano.,il download, come wen ur free.."
not phishing,Yeah do! Don‘t stand to close tho- you‘ll catch something!
not phishing,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
not phishing,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
phishing,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
not phishing,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
phishing,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
not phishing,Watching telugu movie..wat abt u?
not phishing,i see. When we finish we have loads of loans to pay
not phishing,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
not phishing,I see a cup of coffee animation
not phishing,Please don't text me anymore. I have nothing else to say.
not phishing,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
not phishing,I'm still looking for a car to buy. And have not gone 4the driving test yet.
not phishing,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
not phishing,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
not phishing,Umma my life and vava umma love you lot dear
not phishing,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
not phishing,"Aight, I'll hit you up when I get some cash"
not phishing,How would my ip address test that considering my computer isn't a minecraft server
not phishing,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
not phishing,Dont worry. I guess he's busy.
not phishing,What is the plural of the noun research?
not phishing,Going for dinner.msg you after.
not phishing,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
phishing,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
not phishing,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
not phishing,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
phishing,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
not phishing,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
not phishing,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
phishing,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
phishing,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
not phishing,here is my new address -apples&pairs&all that malarky
phishing,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
not phishing,I am going to sao mu today. Will be done only at 12
not phishing,Ü predict wat time ü'll finish buying?
not phishing,"Good stuff, will do."
not phishing,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
not phishing,Are you there in room.
not phishing,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
not phishing,K..k:)how much does it cost?
not phishing,I'm home.
not phishing,"Dear, will call Tmorrow.pls accomodate."
not phishing,First answer my question.
phishing,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
phishing,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
not phishing,I only haf msn. It's yijue@hotmail.com
not phishing,He is there. You call and meet him
not phishing,No no. I will check all rooms befor activities
phishing,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
not phishing,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
not phishing,"K, text me when you're on the way"
not phishing,"Sir, Waiting for your mail."
not phishing,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
not phishing,I know you are. Can you pls open the back?
not phishing,Yes see ya not on the dot
not phishing,Whats the staff name who is taking class for us?
phishing,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
not phishing,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
not phishing,K..i deleted my contact that why?
not phishing,Sindu got job in birla soft ..
not phishing,The wine is flowing and i'm i have nevering..
not phishing,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
not phishing,Ok... Ur typical reply...
not phishing,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
not phishing,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
not phishing,Aaooooright are you at work?
not phishing,I'm leaving my house now...
not phishing,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
phishing,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
phishing,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
not phishing,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
not phishing,New car and house for my parents.:)i have only new job in hand:)
not phishing,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
phishing,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
phishing,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
not phishing,I place all ur points on e cultures module already.
phishing,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
not phishing,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
not phishing,Great escape. I fancy the bridge but needs her lager. See you tomo
not phishing,Yes :)it completely in out of form:)clark also utter waste.
not phishing,"Sir, I need AXIS BANK account no and bank address."
not phishing,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
not phishing,What time you coming down later?
not phishing,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
not phishing,"Well, i'm gonna finish my bath now. Have a good...fine night."
not phishing,Let me know when you've got the money so carlos can make the call
not phishing,U still going to the mall?
not phishing,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
not phishing,Text her. If she doesnt reply let me know so i can have her log in
not phishing,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
not phishing,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
not phishing,Lol no. U can trust me.
not phishing,ok. I am a gentleman and will treat you with dignity and respect.
not phishing,"He will, you guys close?"
not phishing,Going on nothing great.bye
not phishing,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
not phishing,"Haha awesome, be there in a minute"
phishing,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
not phishing,Have you got Xmas radio times. If not i will get it now
not phishing,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
phishing,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
not phishing,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
not phishing,Hi :)finally i completed the course:)
not phishing,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
not phishing,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
not phishing,Gud mrng dear hav a nice day
not phishing,Did u got that persons story
not phishing,is your not phishingster dead? Hey so tmr i meet you at 1pm orchard mrt?
not phishing,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
not phishing,"Found it, ENC  &lt;#&gt; , where you at?"
not phishing,I sent you  &lt;#&gt;  bucks
not phishing,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
not phishing,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
not phishing,Goodmorning sleeping ga.
not phishing,U call me alter at 11 ok.
not phishing,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
not phishing,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
not phishing,"Aight yo, dats straight dogg"
not phishing,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
not phishing,Both :) i shoot big loads so get ready!
not phishing,"What's up bruv, hope you had a great break. Do have a rewarding semester."
not phishing,Home so we can always chat
not phishing,K:)k:)good:)study well.
not phishing,Yup... How ü noe leh...
not phishing,Sounds great! Are you home now?
not phishing,Finally the match heading towards draw as your prediction.
not phishing,Tired. I haven't slept well the past few nights.
not phishing,Easy ah?sen got selected means its good..
not phishing,I have to take exam with march 3
not phishing,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
not phishing,Ok no prob. Take ur time.
not phishing,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
not phishing,"Sorry, I'll call later"
not phishing,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
phishing,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
not phishing,Would really appreciate if you call me. Just need someone to talk to.
phishing,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
not phishing,Hey company elama po mudyadhu.
not phishing,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
not phishing,Dear good morning now only i am up
not phishing,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
not phishing,Dear we are going to our rubber place
not phishing,"Sorry battery died, yeah I'm here"
not phishing,Yes:)here tv is always available in work place..
phishing,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
not phishing,I have printed it oh. So  &lt;#&gt;  come upstairs
not phishing,Or ill be a little closer like at the bus stop on the same street
not phishing,Where are you?when wil you reach here?
not phishing,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
phishing,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
not phishing,Tomarrow final hearing on my laptop case so i cant.
not phishing,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
not phishing,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
not phishing,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
not phishing,U don't remember that old commercial?
not phishing,Too late. I said i have the website. I didn't i have or dont have the slippers
not phishing,I asked you to call him now ok
not phishing,Kallis wont bat in 2nd innings.
not phishing,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
phishing,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
not phishing,Ranjith cal drpd Deeraj and deepak 5min hold
not phishing,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
not phishing,What you doing?how are you?
not phishing,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
not phishing,"I'm back, lemme know when you're ready"
not phishing,Don't necessarily expect it to be done before you get back though because I'm just now headin out
not phishing,Mmm so yummy babe ... Nice jolt to the suzy
not phishing,Where are you lover ? I need you ...
phishing,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
not phishing,I‘m parked next to a MINI!!!! When are you coming in today do you think?
not phishing,Yup
not phishing,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
not phishing,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
phishing,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
not phishing,Why you Dint come with us.
not phishing,Same. Wana plan a trip sometme then
not phishing,"Not sure yet, still trying to get a hold of him"
phishing,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
not phishing,The evo. I just had to download flash. Jealous?
phishing,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
not phishing,"Come to mu, we're sorting out our narcotics situation"
not phishing,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
phishing,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
not phishing,"Usf I guess, might as well take 1 car"
not phishing,No objection. My bf not coming.
not phishing,Thanx...
not phishing,Tell rob to mack his gf in the theater
not phishing,"Awesome, I'll see you in a bit"
not phishing,Just sent it. So what type of food do you like?
not phishing,All done? All handed in? Celebrations in full swing yet?
not phishing,You got called a tool?
not phishing,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
not phishing,Ok. I asked for money how far
not phishing,Okie...
not phishing,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
not phishing,"K, I might come by tonight then if my class lets out early"
not phishing,Ok..
not phishing,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
not phishing,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
not phishing,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
not phishing,Hey you told your name to gautnot phishing ah?
not phishing,Haf u found him? I feel so stupid da v cam was working.
not phishing,Oops. 4 got that bit.
not phishing,Are you this much buzy
not phishing,I accidentally deleted the message. Resend please.
phishing,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
not phishing,Unless it's a situation where YOU GO GURL would be more appropriate
not phishing,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
not phishing,I cant pick the phone right now. Pls send a message
not phishing,Need a coffee run tomo?Can't believe it's that time of week already
not phishing,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
not phishing,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
not phishing,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
not phishing,He is a womdarfull actor
phishing,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
not phishing,Yup... From what i remb... I think should be can book...
not phishing,Jos ask if u wana meet up?
not phishing,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
phishing,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
not phishing,Where are the garage keys? They aren't on the bookshelf
not phishing,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
phishing,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
not phishing,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
not phishing,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
not phishing,You made my day. Do have a great day too.
not phishing,K.k:)advance happy pongal.
not phishing,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
not phishing,"Not really dude, have no friends i'm afraid :("
phishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
not phishing,"Coffee cake, i guess..."
not phishing,"Merry Christmas to you too babe, i love ya *kisses*"
not phishing,Hey... Why dont we just go watch x men and have lunch... Haha
not phishing,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
not phishing,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
not phishing,No problem. How are you doing?
not phishing,No calls..messages..missed calls
not phishing,Hi da:)how is the todays class?
not phishing,"I'd say that's a good sign but, well, you know my track record at reading women"
not phishing,"Cool, text me when you're parked"
not phishing,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
not phishing,K.k:)apo k.good movie.
not phishing,Maybe i could get book out tomo then return it immediately ..? Or something.
phishing,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
not phishing,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
phishing,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
not phishing,"Ta-Daaaaa! I am home babe, are you still up ?"
not phishing,Cool. So how come you havent been wined and dined before?
not phishing,Just sleeping..and surfing
not phishing,"Sorry, I'll call later"
not phishing,U calling me right? Call my hand phone...
not phishing,Ok that's great thanx a lot.
not phishing,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
not phishing,Where u been hiding stranger?
not phishing,Am not interested to do like that.
not phishing,My sister cleared two round in birla soft yesterday.
not phishing,Gudnite....tc...practice going on
not phishing,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
not phishing,One small prestige problem now.
phishing,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
not phishing,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
not phishing,"Nah can't help you there, I've never had an iphone"
not phishing,If you're not in my car in an hour and a half I'm going apeshit
not phishing,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
not phishing,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
not phishing,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
not phishing,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
